timestamp,app_name,notification_type,response_time_sec,productivity_score,is_work_hours,category
2025-01-01 09:33:00,Teams,Message,126,6,1,Work
2025-01-01 09:22:00,Slack,Alert,73,6,1,Social
2025-01-01 10:26:00,Instagram,Ping,157,7,1,Updates
2025-01-01 15:16:00,Teams,Message,81,8,1,Social
2025-01-01 16:57:00,WhatsApp,Ping,265,1,0,Entertainment
2025-01-01 12:00:00,LinkedIn,Ping,153,1,1,Social
2025-01-01 12:28:00,Twitter,Alert,53,9,0,Social
2025-01-01 15:28:00,LinkedIn,Message,188,2,1,Utility
2025-01-01 09:21:00,Twitter,Message,206,8,1,Utility
2025-01-01 15:22:00,Messenger,Reminder,298,5,1,Utility
2025-01-01 17:12:00,Instagram,Message,186,8,1,Work
2025-01-01 13:45:00,Gmail,Alert,22,5,1,Work
2025-01-01 13:16:00,YouTube,Alert,256,3,0,Work
2025-01-01 10:07:00,WhatsApp,Reminder,162,4,0,Entertainment
2025-01-01 11:42:00,Gmail,Reminder,199,9,1,Utility
2025-01-01 09:23:00,Gmail,Reminder,122,9,1,Utility
2025-01-01 17:06:00,WhatsApp,Ping,190,5,1,Utility
2025-01-01 12:26:00,Instagram,Message,21,9,0,Entertainment
2025-01-01 10:55:00,Messenger,Message,29,7,1,Work
2025-01-01 13:50:00,Slack,Alert,252,1,1,Updates
2025-01-01 17:35:00,Teams,Alert,94,8,0,Utility
2025-01-01 09:10:00,WhatsApp,Email,113,2,1,Social
2025-01-01 13:21:00,Instagram,Email,107,2,0,Social
2025-01-01 10:44:00,YouTube,Ping,263,5,1,Utility
2025-01-01 17:53:00,Slack,Message,236,10,0,Social
2025-01-01 10:46:00,YouTube,Alert,93,2,1,Work
2025-01-01 12:46:00,WhatsApp,Reminder,262,2,0,Social
2025-01-01 08:46:00,Instagram,Alert,22,6,0,Social
2025-01-01 14:59:00,YouTube,Reminder,243,3,0,Entertainment
2025-01-01 17:11:00,Calendar,Email,267,8,1,Entertainment
2025-01-01 14:26:00,Slack,Alert,37,4,1,Updates
2025-01-01 11:44:00,Teams,Message,99,2,0,Entertainment
2025-01-01 16:35:00,Slack,Ping,52,5,1,Work
2025-01-01 13:52:00,Messenger,Email,95,1,1,Work
2025-01-01 13:11:00,Calendar,Reminder,215,6,1,Utility
2025-01-01 17:09:00,Slack,Email,52,5,1,Work
2025-01-01 11:13:00,Slack,Alert,248,10,1,Social
2025-01-01 08:42:00,Twitter,Alert,197,1,1,Utility
2025-01-01 11:57:00,YouTube,Ping,32,8,1,Work
2025-01-01 12:23:00,WhatsApp,Reminder,271,3,1,Utility
2025-01-01 09:41:00,Instagram,Ping,130,6,1,Work
2025-01-01 11:54:00,Twitter,Email,122,7,1,Updates
2025-01-01 13:49:00,Gmail,Message,287,3,0,Entertainment
2025-01-01 11:53:00,Instagram,Ping,36,4,0,Utility
2025-01-01 14:35:00,Slack,Ping,271,10,1,Work
2025-01-01 16:05:00,Twitter,Reminder,252,1,0,Social
2025-01-01 14:36:00,Gmail,Alert,165,7,0,Entertainment
2025-01-01 10:47:00,Messenger,Reminder,57,10,1,Social
2025-01-01 13:47:00,Messenger,Alert,268,8,0,Entertainment
2025-01-01 13:13:00,Messenger,Email,138,1,0,Work
2025-01-01 11:13:00,Messenger,Email,93,9,1,Updates
2025-01-01 08:56:00,Instagram,Ping,291,4,1,Entertainment
2025-01-01 10:31:00,Messenger,Reminder,263,6,0,Work
2025-01-01 14:28:00,Calendar,Email,169,10,0,Social
2025-01-01 14:50:00,Instagram,Reminder,201,10,0,Entertainment
2025-01-01 08:50:00,Gmail,Email,242,3,1,Social
2025-01-01 09:28:00,Messenger,Message,156,2,0,Work
2025-01-01 13:05:00,Calendar,Ping,130,1,0,Work
2025-01-01 14:46:00,YouTube,Ping,25,6,0,Work
2025-01-01 11:48:00,Messenger,Reminder,102,9,0,Entertainment
2025-01-01 09:42:00,YouTube,Ping,46,2,1,Utility
2025-01-01 08:27:00,LinkedIn,Reminder,124,3,0,Work
2025-01-01 14:35:00,YouTube,Message,1,5,1,Entertainment
2025-01-01 12:58:00,Teams,Ping,41,8,1,Updates
2025-01-01 09:59:00,LinkedIn,Alert,171,9,0,Social
2025-01-01 08:54:00,Twitter,Ping,60,2,0,Utility
2025-01-01 14:05:00,LinkedIn,Ping,23,9,0,Social
2025-01-01 16:54:00,YouTube,Email,266,1,0,Entertainment
2025-01-01 11:38:00,Instagram,Reminder,124,8,0,Work
2025-01-01 08:56:00,WhatsApp,Reminder,190,9,1,Entertainment
2025-01-01 16:10:00,WhatsApp,Reminder,54,4,0,Entertainment
2025-01-01 08:01:00,YouTube,Message,166,8,0,Entertainment
2025-01-01 16:02:00,Calendar,Alert,271,7,1,Utility
2025-01-01 12:12:00,LinkedIn,Ping,90,6,1,Work
2025-01-01 15:35:00,Slack,Reminder,237,1,0,Social
2025-01-01 13:47:00,Slack,Message,271,9,1,Entertainment
2025-01-01 17:40:00,Slack,Ping,263,4,1,Work
2025-01-01 13:31:00,Slack,Email,23,3,0,Utility
2025-01-01 17:23:00,Slack,Message,202,8,1,Entertainment
2025-01-01 17:19:00,LinkedIn,Email,153,4,0,Entertainment
2025-01-01 09:32:00,Calendar,Ping,267,1,1,Social
2025-01-01 17:54:00,Messenger,Email,268,4,1,Work
2025-01-01 17:49:00,LinkedIn,Ping,254,10,0,Entertainment
2025-01-01 17:08:00,Twitter,Message,159,7,1,Social
2025-01-01 14:00:00,YouTube,Alert,59,6,0,Utility
2025-01-01 14:06:00,YouTube,Message,102,5,1,Entertainment
2025-01-01 10:22:00,Messenger,Alert,86,5,0,Work
2025-01-01 16:49:00,LinkedIn,Alert,123,8,0,Work
2025-01-01 16:11:00,Gmail,Ping,172,10,0,Social
2025-01-01 09:49:00,Teams,Reminder,214,1,0,Utility
2025-01-01 08:05:00,Messenger,Reminder,93,7,0,Entertainment
2025-01-01 08:26:00,YouTube,Message,17,6,0,Social
2025-01-01 15:08:00,Gmail,Email,83,10,0,Social
2025-01-01 15:58:00,LinkedIn,Ping,184,8,1,Updates
2025-01-01 10:32:00,LinkedIn,Email,264,2,1,Work
2025-01-01 09:20:00,Instagram,Reminder,4,6,0,Updates
2025-01-01 08:37:00,YouTube,Reminder,54,4,1,Work
2025-01-01 14:41:00,Instagram,Reminder,189,9,0,Social
2025-01-01 09:54:00,LinkedIn,Email,271,8,1,Work
2025-01-01 08:23:00,Twitter,Alert,39,1,0,Social
2025-01-01 13:29:00,Twitter,Ping,204,6,1,Social
2025-01-01 16:44:00,WhatsApp,Reminder,130,5,0,Work
2025-01-01 13:45:00,Calendar,Message,288,6,1,Utility
2025-01-01 17:07:00,Slack,Reminder,67,2,1,Work
2025-01-01 16:11:00,Instagram,Reminder,173,4,1,Entertainment
2025-01-01 17:33:00,Slack,Reminder,297,7,1,Entertainment
2025-01-01 11:32:00,Calendar,Reminder,9,2,0,Work
2025-01-01 12:59:00,Messenger,Reminder,16,3,1,Utility
2025-01-01 09:50:00,Slack,Ping,68,4,1,Entertainment
2025-01-01 08:18:00,Gmail,Email,103,2,0,Entertainment
2025-01-01 16:10:00,Gmail,Reminder,271,8,0,Work
2025-01-01 09:37:00,Messenger,Ping,80,9,0,Entertainment
2025-01-01 16:38:00,YouTube,Reminder,300,3,1,Entertainment
2025-01-01 09:43:00,Instagram,Alert,50,9,1,Utility
2025-01-01 14:07:00,WhatsApp,Email,199,3,1,Utility
2025-01-01 10:44:00,WhatsApp,Message,234,4,0,Work
2025-01-01 15:54:00,Slack,Email,151,10,0,Entertainment
2025-01-01 08:38:00,Messenger,Ping,59,10,1,Social
2025-01-01 11:57:00,Slack,Message,261,5,0,Work
2025-01-01 15:56:00,Twitter,Ping,277,7,1,Social
2025-01-01 11:04:00,YouTube,Ping,284,5,0,Entertainment
2025-01-01 17:05:00,Slack,Email,54,3,1,Utility
2025-01-01 10:47:00,Slack,Message,61,4,0,Social
2025-01-01 12:59:00,LinkedIn,Reminder,251,9,1,Social
2025-01-01 08:17:00,Twitter,Reminder,236,5,1,Updates
2025-01-01 08:08:00,WhatsApp,Email,126,8,1,Updates
2025-01-01 17:15:00,LinkedIn,Message,114,4,0,Work
2025-01-01 16:52:00,YouTube,Alert,171,4,1,Entertainment
2025-01-01 11:30:00,Instagram,Ping,54,9,0,Social
2025-01-01 11:03:00,Teams,Message,221,10,0,Utility
2025-01-01 11:59:00,WhatsApp,Alert,169,6,0,Social
2025-01-01 14:05:00,Gmail,Email,142,1,0,Updates
2025-01-01 08:40:00,Gmail,Reminder,276,9,0,Updates
2025-01-01 12:55:00,YouTube,Message,268,7,1,Social
2025-01-01 09:06:00,Gmail,Message,192,4,0,Social
2025-01-01 08:30:00,Gmail,Email,272,2,1,Updates
2025-01-01 08:56:00,Gmail,Message,270,5,1,Social
2025-01-01 16:07:00,Gmail,Alert,63,9,1,Work
2025-01-01 12:28:00,Gmail,Ping,246,5,1,Work
2025-01-01 12:59:00,WhatsApp,Reminder,18,4,0,Social
2025-01-01 15:05:00,Calendar,Alert,291,8,0,Social
2025-01-01 13:00:00,Messenger,Message,86,5,1,Work
2025-01-01 11:04:00,Calendar,Message,299,7,0,Utility
2025-01-01 16:54:00,Gmail,Email,18,2,0,Entertainment
2025-01-01 17:48:00,Calendar,Email,76,7,0,Entertainment
2025-01-01 14:35:00,Twitter,Ping,287,9,0,Work
2025-01-01 13:33:00,Gmail,Alert,83,5,0,Work
2025-01-01 16:48:00,WhatsApp,Alert,115,6,0,Utility
2025-01-01 12:56:00,Slack,Message,144,7,0,Social
2025-01-01 11:35:00,YouTube,Ping,139,1,0,Utility
2025-01-01 08:25:00,WhatsApp,Message,105,3,0,Utility
2025-01-01 17:48:00,Instagram,Message,251,1,1,Social
2025-01-01 16:04:00,Teams,Reminder,279,2,1,Updates
2025-01-01 13:57:00,LinkedIn,Ping,180,7,1,Utility
2025-01-01 14:29:00,Teams,Message,124,4,0,Updates
2025-01-01 17:41:00,Teams,Ping,158,4,1,Work
2025-01-01 14:38:00,Gmail,Ping,166,1,0,Entertainment
2025-01-01 12:50:00,LinkedIn,Email,249,1,0,Work
2025-01-01 10:58:00,Calendar,Message,220,5,1,Updates
2025-01-01 11:15:00,LinkedIn,Reminder,26,2,1,Work
2025-01-01 12:46:00,YouTube,Message,102,2,1,Utility
2025-01-01 16:35:00,Twitter,Reminder,137,6,0,Utility
2025-01-01 08:41:00,Calendar,Reminder,219,5,0,Social
2025-01-01 10:45:00,Messenger,Reminder,116,6,0,Social
